pos_element	neg_element	POS	pos_key	neg_key	pos_definition	neg_definition	reversed_ann1	affixal/non-affixal_ann1	negative affix_ann1	positive affix_ann1	direct/indirect_ann1	subtype_ann1	reversed_ann2	affixal/non-affixal_ann2	negative affix_ann2	positive affix_ann2	direct/indirect_ann2	subtype_ann2
civil_law	international_law	n	civil_law%1:14:00::	international_law%1:14:00::	the body of laws established by a state or nation for its own regulation	the body of laws governing relations between nations	_	_	_	_	_	_	no	non-affixal	_	_	_	_
civilian	serviceman	n	civilian%1:18:00::	serviceman%1:18:00::	a nonmilitary citizen	someone who serves in the armed forces; a member of a military force	no	non-affixal	_	_	_	_	_	_	_	_	_	_
civility	incivility	n	civility%1:07:00::	incivility%1:07:00::	formal or perfunctory politeness	deliberate discourtesy	_	_	_	_	_	_	no	affixal	in-	_	direct	_
clarity	obscurity	n	clarity%1:07:01::	obscurity%1:07:02::	free from obscurity and easy to understand; the comprehensibility of clear expression	the quality of being unclear or abstruse and hard to understand	_	_	_	_	_	_	no	non-affixal	_	_	_	_
clarity	opacity	n	clarity%1:07:00::	opacity%1:07:00::	the quality of clear water	the quality of being opaque to a degree; the degree to which something reduces the passage of light	_	_	_	_	_	_	no	non-affixal	_	_	_	_
classicism	Romanticism	n	classicism%1:09:00::	romanticism%1:09:00::	a movement in literature and art during the 17th and 18th centuries in Europe that favored rationality and restraint and strict forms	a movement in literature and art during the late 18th and early 19th centuries that celebrated nature rather than civilization	_	_	_	_	_	_	no	non-affixal	_	_	_	_
classicist	romanticist	n	classicist%1:18:00::	romanticist%1:18:00::	an artistic person who adheres to classicism	an artist of the Romantic Movement or someone influenced by Romanticism	no	non-affixal	_	_	_	_	_	_	_	_	_	_
classification	declassification	n	classification%1:04:01::	declassification%1:04:00::	restriction imposed by the government on documents or weapons that are available only to certain authorized people	reduction or removal by the government of restrictions on a classified document or weapon	no	affixal	de-	_	indirect	ROA	_	_	_	_	_	_
cleanliness	uncleanliness	n	cleanliness%1:07:00::	uncleanliness%1:07:00::	diligence in keeping clean	lack of cleanly habits	_	_	_	_	_	_	no	affixal	un-	_	direct	_
cleanness	dirtiness	n	cleanness%1:26:00::	dirtiness%1:26:00::	the state of being clean; without dirt or other impurities	the state of being unsanitary	no	non-affixal	_	_	_	_	_	_	_	_	_	_
clearness	unclearness	n	clearness%1:07:01::	unclearness%1:07:00::	free from obscurity and easy to understand; the comprehensibility of clear expression	incomprehensibility as a result of not being clear	no	affixal	un-	_	direct	_	_	_	_	_	_	_
clergy	laity	n	clergy%1:14:00::	laity%1:14:00::	in Christianity, clergymen collectively (as distinguished from the laity)	in Christianity, members of a religious community that do not have the priestly responsibilities of ordained clergy	no	non-affixal	_	_	_	_	_	_	_	_	_	_
clergyman	layman	n	clergyman%1:18:00::	layman%1:18:00::	a member of the clergy and a spiritual leader of the Christian Church	someone who is not a clergyman or a professional person	no	non-affixal	_	_	_	_	_	_	_	_	_	_
closed_chain	open_chain	n	closed_chain%1:17:00::	open_chain%1:17:00::	(chemistry) a chain of atoms in a molecule that forms a closed loop	a chain of atoms in a molecule whose ends are not joined to form a ring	no	non-affixal	_	_	_	_	_	_	_	_	_	_
closed_circuit	open_circuit	n	closed_circuit%1:06:00::	open_circuit%1:06:00::	a complete electrical circuit around which current flows or a signal circulates	an incomplete electrical circuit in which no current flows	_	_	_	_	_	_	no	non-affixal	_	_	_	_
closed_interval	open_interval	n	closed_interval%1:09:00::	open_interval%1:09:00::	an interval that includes its endpoints	an interval that does not include its endpoints	no	non-affixal	_	_	_	_	_	_	_	_	_	_
cognizance	incognizance	n	cognizance%1:09:00::	incognizance%1:09:00::	having knowledge of	a lack of knowledge or recognition	no	affixal	in-	_	indirect	INS	_	_	_	_	_	_
coldness	hotness	n	coldness%1:07:00::	hotness%1:07:00::	the absence of heat	the presence of heat	no	non-affixal	_	_	_	_	_	_	_	_	_	_
color	colorlessness	n	color%1:07:00::	colorlessness%1:07:00::	a visual attribute of things that results from the light they emit or transmit or reflect	the visual property of being without chromatic color	_	_	_	_	_	_	no	affixal	-less	_	indirect	LAC
comedy	tragedy	n	comedy%1:10:00::	tragedy%1:10:00::	light and humorous drama with a happy ending	drama in which the protagonist is overcome by some superior force or circumstance; excites terror or pity	no	non-affixal	_	_	_	_	_	_	_	_	_	_
comfort	discomfort	n	comfort%1:26:00::	discomfort%1:26:00::	a state of being relaxed and feeling no pain	the state of being tense and feeling pain	no	affixal	dis-	_	direct	_	_	_	_	_	_	_
commonness	uncommonness	n	commonness%1:07:00::	uncommonness%1:07:00::	ordinariness as a consequence of being frequent and commonplace	extraordinariness as a consequence of being rare and seldom encountered	no	affixal	un-	_	direct	_	_	_	_	_	_	_
communicativeness	uncommunicativeness	n	communicativeness%1:07:00::	uncommunicativeness%1:07:00::	the trait of being communicative	the trait of being uncommunicative	_	_	_	_	_	_	no	affixal	un-	_	direct	_
compatibility	incompatibility	n	compatibility%1:07:00::	incompatibility%1:07:00::	capability of existing or performing in harmonious or congenial combination	the quality of being unable to exist or work in congenial combination	_	_	_	_	_	_	no	affixal	in-	_	direct	_
competence	incompetence	n	competence%1:07:00::	incompetence%1:07:00::	the quality of being adequately or well qualified physically and intellectually	lack of physical or intellectual ability or qualifications	no	affixal	in-	_	direct	_	_	_	_	_	_	_
competition	cooperation	n	competition%1:04:00::	cooperation%1:04:01::	the act of competing as for profit or a prize	joint operation or action	no	non-affixal	_	_	_	_	_	_	_	_	_	_
completeness	incompleteness	n	completeness%1:26:00::	incompleteness%1:26:00::	the state of being complete and entire; having everything that is needed	the state of being crude and incomplete and imperfect	no	affixal	in-	_	direct	_	_	_	_	_	_	_
complex_instruction_set_computer	reduced_instruction_set_computer	n	complex_instruction_set_computer%1:07:00::	reduced_instruction_set_computer%1:07:00::	(computer science) a kind of computer architecture that has a large number of instructions hard coded into the CPU chip	(computer science) a kind of computer architecture that has a relatively small set of computer instructions that it can perform	_	_	_	_	_	_	no	non-affixal	_	_	_	_
complex_instruction_set_computing	reduced_instruction_set_computing	n	complex_instruction_set_computing%1:07:00::	reduced_instruction_set_computing%1:07:00::	(computer science) a kind of computer architecture that has a large number of instructions hard coded into the CPU chip	(computer science) a kind of computer architecture that has a relatively small set of computer instructions that it can perform	no	non-affixal	_	_	_	_	_	_	_	_	_	_
composure	discomposure	n	composure%1:07:00::	discomposure%1:07:00::	steadiness of mind under stress	a temperament that is perturbed and lacking in composure	_	_	_	_	_	_	no	affixal	dis-	_	indirect	OPP
comprehensibility	incomprehensibility	n	comprehensibility%1:07:00::	incomprehensibility%1:07:00::	the quality of comprehensible language or thought	the quality of being incomprehensible	no	affixal	in-	_	direct	_	_	_	_	_	_	_
comprehension	incomprehension	n	comprehension%1:09:00::	incomprehension%1:09:00::	an ability to understand the meaning or importance of something (or the knowledge acquired as a result)	an inability to understand	no	affixal	in-	_	direct	_	_	_	_	_	_	_
compressibility	incompressibility	n	compressibility%1:07:00::	incompressibility%1:07:00::	the property of being able to occupy less space	the property of being incompressible	no	affixal	in-	_	direct	_	_	_	_	_	_	_
compression	decompression	n	compression%1:04:01::	decompression%1:04:01::	encoding information while reducing the bandwidth or bits required	restoring compressed information to its normal form for use or display	no	affixal	de-	_	indirect	ROA	_	_	_	_	_	_
conceit	humility	n	conceit%1:07:00::	humility%1:07:00::	the trait of being unduly vain and conceited; false pride	a disposition to be humble; a lack of false pride	no	non-affixal	_	_	_	_	_	_	_	_	_	_
concentricity	eccentricity	n	concentricity%1:07:00::	eccentricity%1:07:01::	the quality of having the same center (as circles inside one another)	a circularity that has a different center or deviates from a circular path	_	_	_	_	_	_	no	non-affixal	_	_	_	_
conception	misconception	n	conception%1:09:00::	misconception%1:09:00::	an abstract or general idea inferred or derived from specific instances	an incorrect conception	no	affixal	mis-	_	indirect	WRO	_	_	_	_	_	_
concern	unconcern	n	concern%1:12:00::	unconcern%1:12:00::	a feeling of sympathy for someone or something	a feeling of lack of concern	no	affixal	un-	_	indirect	LAC	_	_	_	_	_	_
conclusiveness	inconclusiveness	n	conclusiveness%1:07:00::	inconclusiveness%1:07:00::	the quality of being final or definitely settled	the quality of being inconclusive	no	affixal	in-	_	direct	_	_	_	_	_	_	_
concreteness	abstractness	n	concreteness%1:07:00::	abstractness%1:07:00::	the quality of being concrete (not abstract)	the quality of being considered apart from a specific instance or object	no	non-affixal	_	_	_	_	_	_	_	_	_	_
conductor	insulator	n	conductor%1:27:00::	insulator%1:27:00::	a substance that readily conducts e.g. electricity and heat	a material such as glass or porcelain with negligible electrical or thermal conductivity	_	_	_	_	_	_	no	affixal	in-	_	direct	_
conformism	nonconformism	n	conformism%1:09:00::	nonconformism%1:09:00::	orthodoxy in thoughts and belief	a lack of orthodoxy in thoughts or beliefs	_	_	_	_	_	_	no	affixal	non-	_	indirect	OPP
conformist	nonconformist	n	conformist%1:18:00::	nonconformist%1:18:00::	someone who conforms to established standards of conduct (especially in religious matters)	someone who refuses to conform to established standards of conduct	no	affixal	non-	_	direct	_	no	affixal	non-	_	indirect	OPP
conformity	nonconformity	n	conformity%1:09:00::	nonconformity%1:09:00::	orthodoxy in thoughts and belief	a lack of orthodoxy in thoughts or beliefs	no	affixal	non-	_	direct	_	_	_	_	_	_	_
congeniality	uncongeniality	n	congeniality%1:07:00::	uncongeniality%1:07:00::	a congenial disposition	a disposition not to be congenial	_	_	_	_	_	_	no	affixal	un-	_	direct	_
congruity	incongruity	n	congruity%1:07:00::	incongruity%1:07:00::	the quality of agreeing; being suitable and appropriate	the quality of disagreeing; being unsuitable and inappropriate	no	affixal	in-	_	direct	_	_	_	_	_	_	_
congruousness	incongruousness	n	congruousness%1:07:00::	incongruousness%1:07:00::	the quality of agreeing; being suitable and appropriate	the quality of disagreeing; being unsuitable and inappropriate	no	affixal	in-	_	direct	_	_	_	_	_	_	_
connectedness	unconnectedness	n	connectedness%1:24:00::	unconnectedness%1:24:00::	a relation between things or events (as in the case of one causing the other or sharing features with it)	the lack of a connection between things	no	affixal	un-	_	direct	_	_	_	_	_	_	_
conscientiousness	unconscientiousness	n	conscientiousness%1:07:00::	unconscientiousness%1:07:00::	the quality of being in accord with the dictates of conscience	the quality of being willing to ignore the dictates of conscience	_	_	_	_	_	_	no	affixal	un-	_	direct	_
consciousness	unconsciousness	n	consciousness%1:09:00::	unconsciousness%1:09:00::	an alert cognitive state in which you are aware of yourself and your situation	a state lacking normal awareness of the self or environment	_	_	_	_	_	_	no	affixal	un-	_	direct	_
consequence	inconsequence	n	consequence%1:07:00::	inconsequence%1:07:00::	having important effects or influence	having no important effects or influence	no	affixal	in-	_	direct	_	no	affixal	in-	_	direct	_
conservative	liberal	n	conservative%1:18:00::	liberal%1:18:00::	a person who is reluctant to accept changes and new ideas	a person who favors a political philosophy of progress and reform and the protection of civil liberties	no	non-affixal	_	_	_	_	_	_	_	_	_	_
consideration	inconsideration	n	consideration%1:07:00::	inconsideration%1:07:00::	kind and considerate regard for others	the quality of failing to be considerate of others	no	affixal	in-	_	indirect	INS	_	_	_	_	_	_
consistency	inconsistency	n	consistency%1:07:02::	inconsistency%1:07:00::	a harmonious uniformity or agreement among things or parts	the quality of being inconsistent and lacking a harmonious uniformity among things or parts	_	_	_	_	_	_	no	affixal	in-	_	direct	_
conspicuousness	inconspicuousness	n	conspicuousness%1:07:00::	inconspicuousness%1:07:00::	high visibility	the quality of being not easily seen	_	_	_	_	_	_	no	affixal	in-	_	direct	_
construction	misconstruction	n	construction%1:10:01::	misconstruction%1:10:00::	a group of words that form a constituent of a sentence and are considered as a single unit	an ungrammatical constituent	no	affixal	mis-	_	indirect	WRO	_	_	_	_	_	_
constructiveness	destructiveness	n	constructiveness%1:07:00::	destructiveness%1:07:00::	the quality of serving to build or improve	the quality of causing destruction	_	_	_	_	_	_	no	affixal	de-	_	indirect	ROD
contamination	decontamination	n	contamination%1:04:00::	decontamination%1:04:00::	the act of contaminating or polluting; including (either intentionally or accidentally) unwanted substances or factors	the removal of contaminants	no	affixal	de-	_	indirect	ROA	_	_	_	_	_	_
contentment	discontentment	n	contentment%1:12:00::	discontentment%1:12:00::	happiness with one's situation in life	a longing for something better than the present situation	no	affixal	dis-	_	direct	_	_	_	_	_	_	_
continuance	discontinuance	n	continuance%1:04:00::	discontinuance%1:04:00::	the act of continuing an activity without interruption	the act of discontinuing or breaking off; an interruption (temporary or permanent)	no	affixal	dis-	_	direct	_	no	affixal	dis-	_	indirect	OPP
continuation	discontinuation	n	continuation%1:04:00::	discontinuation%1:04:00::	the act of continuing an activity without interruption	the act of discontinuing or breaking off; an interruption (temporary or permanent)	no	affixal	dis-	_	direct	_	_	_	_	_	_	_
contraction	expansion	n	contraction%1:04:00::	expansion%1:04:00::	the act of decreasing (something) in size or volume or quantity or scope	the act of increasing (something) in size or volume or quantity or scope	_	_	_	_	_	_	no	non-affixal	_	_	_	_
convenience	inconvenience	n	convenience%1:07:00::	inconvenience%1:07:00::	the quality of being useful and convenient	the quality of not being useful or convenient	no	affixal	in-	_	indirect	INS	_	_	_	_	_	_
convergence	divergence	n	convergence%1:09:00::	divergence%1:09:00::	the approach of an infinite series to a finite limit	an infinite series that has no limit	no	affixal	dis-	con-	indirect	ROD	_	_	_	_	_	_
convergency	divergency	n	convergency%1:09:00::	divergency%1:09:00::	the approach of an infinite series to a finite limit	an infinite series that has no limit	_	_	_	_	_	_	no	affixal	di-	_	indirect	ROD
convergent_thinking	divergent_thinking	n	convergent_thinking%1:09:00::	divergent_thinking%1:09:00::	thinking that brings together information focussed on solving a problem (especially solving problems that have a single correct solution)	thinking that moves away in diverging directions so as to involve a variety of aspects and which sometimes lead to novel ideas and solutions; associated with creativity	_	_	_	_	_	_	no	affixal	di-	_	indirect	OPP
convertibility	inconvertibility	n	convertibility%1:07:00::	inconvertibility%1:07:00::	the quality of being exchangeable (especially the ability to convert a currency into gold or other currencies without restriction)	the quality of not being exchangeable	no	affixal	in-	_	direct	_	no	affixal	in-	_	direct	_
convex_polygon	concave_polygon	n	convex_polygon%1:25:00::	concave_polygon%1:25:00::	a polygon such that no side extended cuts any other side or vertex; it can be cut by a straight line in at most two points	a polygon such that there is a straight line that cuts it in four or more points	_	_	_	_	_	_	no	non-affixal	_	_	_	_
conviction	acquittal	n	conviction%1:04:00::	acquittal%1:04:00::	(criminal law) a final judgment of guilty in a criminal case and the punishment that is imposed	a judgment of not guilty	no	non-affixal	_	_	_	_	no	non-affixal	_	_	_	_
coordination	incoordination	n	coordination%1:09:00::	incoordination%1:09:00::	the skillful and effective interaction of movements	a lack of coordination of movements	_	_	_	_	_	_	no	affixal	in-	_	direct	_
corporeality	incorporeality	n	corporeality%1:07:00::	incorporeality%1:07:00::	the quality of being physical; consisting of matter	the quality of not being physical; not consisting of matter	no	affixal	in-	_	direct	_	_	_	_	_	_	_
correctness	incorrectness	n	correctness%1:07:02::	incorrectness%1:07:02::	the quality of conformity to social expectations	lack of conformity to social expectations	no	affixal	in-	_	direct	_	_	_	_	_	_	_
corruptibility	incorruptibility	n	corruptibility%1:07:00::	incorruptibility%1:07:00::	the capability of being corrupted	the incapability of being corrupted	no	affixal	in-	_	direct	_	_	_	_	_	_	_
corruptness	incorruptness	n	corruptness%1:07:00::	incorruptness%1:07:00::	lack of integrity or honesty (especially susceptibility to bribery); use of a position of trust for dishonest gain	characterized by integrity or probity	_	_	_	_	_	_	no	affixal	in-	_	direct	_
cortex	medulla	n	cortex%1:08:00::	medulla%1:08:00::	the tissue forming the outer layer of an organ or structure in plant or animal	the inner part of an organ or structure in plant or animal	_	_	_	_	_	_	no	non-affixal	_	_	_	_
courage	cowardice	n	courage%1:07:00::	cowardice%1:07:00::	a quality of spirit that enables you to face danger or pain without showing fear	the trait of lacking courage	_	_	_	_	_	_	no	non-affixal	_	_	_	_
courtesy	discourtesy	n	courtesy%1:07:00::	discourtesy%1:07:00::	a courteous manner	a manner that is rude and insulting	no	affixal	dis-	_	direct	_	_	_	_	_	_	_
creativeness	uncreativeness	n	creativeness%1:09:00::	uncreativeness%1:09:00::	the ability to create	a lack of creativity	no	affixal	un-	_	indirect	LAC	_	_	_	_	_	_
credibility	incredibility	n	credibility%1:07:00::	incredibility%1:07:00::	the quality of being believable or trustworthy	the quality of being incredible	no	affixal	in-	_	direct	_	_	_	_	_	_	_
credit	cash	n	credit%1:21:00::	cash%1:21:02::	arrangement for deferred payment for goods and services	prompt payment for goods or services in currency or by check	_	_	_	_	_	_	no	non-affixal	_	_	_	_
creditor	debtor	n	creditor%1:18:00::	debtor%1:18:00::	a person to whom money is owed by a debtor; someone to whom an obligation exists	a person who owes a creditor; someone who has the obligation of paying a debt	_	_	_	_	_	_	no	non-affixal	_	_	_	_
criminalisation	decriminalisation	n	criminalisation%1:04:00::	decriminalisation%1:04:00::	legislation that makes something illegal	legislation that makes something legal that was formerly illegal	_	_	_	_	_	_	no	affixal	de-	_	indirect	ROA
criminalization	decriminalization	n	criminalization%1:04:00::	decriminalization%1:04:00::	legislation that makes something illegal	legislation that makes something legal that was formerly illegal	no	affixal	de-	_	indirect	ROA	no	affixal	de-	_	indirect	ROA
cross-fertilization	self-fertilization	n	cross-fertilization%1:11:00::	self-fertilization%1:11:00::	fertilization by the union of male and female gametes from different individual of the same species	fertilization by the union of male and female gametes from the same individual	no	non-affixal	_	_	_	_	_	_	_	_	_	_
cross-pollination	self-pollination	n	cross-pollination%1:11:00::	self-pollination%1:11:00::	fertilization by transfer of pollen from the anthers of one flower to the stigma of another	fertilization by transfer of pollen from the anthers to the stigma of the same flower	no	non-affixal	_	_	_	_	_	_	_	_	_	_
cultivated_plant	weed	n	cultivated_plant%1:20:00::	weed%1:20:00::	plants that are grown for their produce	any plant that crowds out cultivated plants	_	_	_	_	_	_	no	non-affixal	_	_	_	_
curability	incurability	n	curability%1:07:00::	incurability%1:07:01::	capability of being cured or healed	incapability of being cured or healed	no	affixal	in-	_	direct	_	no	affixal	in-	_	direct	_
curableness	incurableness	n	curableness%1:07:00::	incurableness%1:07:00::	capability of being cured or healed	incapability of being cured or healed	_	_	_	_	_	_	no	affixal	in-	_	direct	_
curliness	straightness	n	curliness%1:07:00::	straightness%1:07:01::	(of hair) a tendency to curl	(of hair) lack of a tendency to curl	no	non-affixal	_	_	_	_	_	_	_	_	_	_
curve	straight_line	n	curve%1:25:00::	straight_line%1:25:00::	the trace of a point whose direction of motion changes	a line traced by a point traveling in a constant direction; a line of zero curvature	_	_	_	_	_	_	no	non-affixal	_	_	_	_
custom-made	ready-made	n	custom-made%1:06:00::	ready-made%1:06:00::	an item made to the customer's specifications	a manufactured artifact (as a garment or piece of furniture) that is made in advance and available for purchase	_	_	_	_	_	_	no	non-affixal	_	_	_	_
daughter	son	n	daughter%1:18:00::	son%1:18:00::	a female human offspring	a male human offspring	_	_	_	_	_	_	no	non-affixal	_	_	_	_
day	night	n	day%1:28:02::	night%1:28:00::	the time after sunrise and before sunset while it is light outside	the time after sunset and before sunrise while it is dark outside	_	_	_	_	_	_	no	non-affixal	_	_	_	_
day_game	night_game	n	day_game%1:04:00::	night_game%1:04:00::	a game played in daylight	a game played under artificial illumination at night	no	non-affixal	_	_	_	_	_	_	_	_	_	_
day_school	boarding_school	n	day_school%1:14:00::	boarding_school%1:14:00::	a private school taking day students only	a private school where students are lodged and fed as well as taught	_	_	_	_	_	_	no	non-affixal	_	_	_	_
day_school	night_school	n	day_school%1:14:01::	night_school%1:14:00::	a school giving instruction during the daytime	a school that holds classes in the evenings for students who cannot attend during the day	_	_	_	_	_	_	no	non-affixal	_	_	_	_
deactivation	activation	n	deactivation%1:04:00::	activation%1:04:01::	the act of deactivating or making ineffective (as a bomb)	making active and effective (as a bomb)	yes	affixal	de-	_	indirect	ROA	yes	affixal	de-	_	indirect	ROA
dead	living	n	dead%1:14:00::	living%1:14:00::	people who are no longer living	people who are still living	no	non-affixal	_	_	_	_	_	_	_	_	_	_
decency	indecency	n	decency%1:07:00::	indecency%1:07:00::	the quality of conforming to standards of propriety and morality	the quality of being indecent	_	_	_	_	_	_	no	affixal	in-	_	direct	_
decision	indecision	n	decision%1:07:00::	indecision%1:07:00::	the trait of resoluteness as evidenced by firmness of character or purpose	the trait of irresolution; a lack of firmness of character or purpose	no	affixal	in-	_	indirect	INS	_	_	_	_	_	_
decisiveness	indecisiveness	n	decisiveness%1:07:00::	indecisiveness%1:07:00::	the trait of resoluteness as evidenced by firmness of character or purpose	the trait of irresolution; a lack of firmness of character or purpose	_	_	_	_	_	_	no	affixal	in-	_	direct	_
decorousness	indecorousness	n	decorousness%1:07:00::	indecorousness%1:07:00::	propriety in manners and conduct	a lack of decorum	_	_	_	_	_	_	no	affixal	in-	_	direct	_
decorum	indecorum	n	decorum%1:07:00::	indecorum%1:07:00::	propriety in manners and conduct	a lack of decorum	_	_	_	_	_	_	no	affixal	in-	_	direct	_
decrement	increment	n	decrement%1:22:00::	increment%1:22:00::	a process of becoming smaller or shorter	a process of becoming larger or longer or more numerous or more important	_	_	_	_	_	_	yes	affixal	in-	_	direct	_
dedicated_file_server	non-dedicated_file_server	n	dedicated_file_server%1:06:00::	non-dedicated_file_server%1:06:00::	(computer science) a file server that can be used only as a file server	(computer science) a file server that can be used simultaneously as a workstation	_	_	_	_	_	_	no	affixal	non-	_	indirect	OPP
deepness	shallowness	n	deepness%1:07:00::	shallowness%1:07:00::	the quality of being physically deep	the quality of lacking physical depth	_	_	_	_	_	_	no	non-affixal	_	_	_	_
defendant	plaintiff	n	defendant%1:18:00::	plaintiff%1:18:00::	a person or institution against whom an action is brought in a court of law; the person being sued or accused	a person who brings an action in a court of law	_	_	_	_	_	_	no	non-affixal	_	_	_	_
deficit	lead	n	deficit%1:23:00::	lead%1:23:00::	(sports) the score by which a team or individual is losing	(sports) the score by which a team or individual is winning	no	non-affixal	_	_	_	_	_	_	_	_	_	_
deflation	disinflation	n	deflation%1:22:00::	disinflation%1:22:00::	a contraction of economic activity resulting in a decline of prices	a reduction of prices intended to improve the balance of payments	_	_	_	_	_	_	no	affixal	dis-	_	indirect	OPP
deflation	inflation	n	deflation%1:22:00::	inflation%1:22:00::	a contraction of economic activity resulting in a decline of prices	a general and progressive increase in prices	yes	affixal	de-	in-	indirect	ROD	_	_	_	_	_	_
demand	supply	n	demand%1:22:00::	supply%1:22:00::	the ability and desire to purchase goods and services	offering goods and services for sale	no	non-affixal	_	_	_	_	_	_	_	_	_	_
dependability	undependability	n	dependability%1:07:00::	undependability%1:07:00::	the quality of being dependable or reliable	the trait of not being dependable or reliable	_	_	_	_	_	_	no	affixal	un-	_	direct	_
dependableness	undependableness	n	dependableness%1:07:00::	undependableness%1:07:00::	the quality of being dependable or reliable	the trait of not being dependable or reliable	no	affixal	un-	_	direct	_	_	_	_	_	_	_
depression	elation	n	depression%1:26:00::	elation%1:26:00::	a mental state characterized by a pessimistic sense of inadequacy and a despondent lack of activity	an exhilarating psychological state of pride and optimism; an absence of depression	_	_	_	_	_	_	no	non-affixal	_	_	_	_
descriptive_linguistics	prescriptive_linguistics	n	descriptive_linguistics%1:09:00::	prescriptive_linguistics%1:09:00::	a description (at a given point in time) of a language with respect to its phonology and morphology and syntax and semantics without value judgments	an account of how a language should be used instead of how it is actually used; a prescription for the `correct' phonology and morphology and syntax and semantics	no	non-affixal	_	_	_	_	_	_	_	_	_	_
desirability	undesirability	n	desirability%1:07:00::	undesirability%1:07:00::	the quality of being worthy of desiring	the quality possessed by something that should be avoided	no	affixal	un-	_	direct	_	_	_	_	_	_	_
destructibility	indestructibility	n	destructibility%1:07:00::	indestructibility%1:07:00::	vulnerability to destruction	the strength to resist destruction	no	affixal	in-	_	direct	_	_	_	_	_	_	_
development	nondevelopment	n	development%1:22:01::	nondevelopment%1:22:00::	(biology) the process of an individual organism growing organically; a purely biological unfolding of events involved in an organism changing gradually from a simple to a more complex level	failure of normal development to occur	_	_	_	_	_	_	no	affixal	non-	_	indirect	OPP
devolution	evolution	n	devolution%1:22:00::	evolution%1:22:01::	the process of declining from a higher to a lower level of effective power or vitality or essential quality	a process in which something passes by degrees to a different stage (especially a more advanced or mature stage)	_	_	_	_	_	_	no	non-affixal	_	_	_	_
dextrorotation	levorotation	n	dextrorotation%1:11:00::	levorotation%1:11:00::	rotation to the right	rotation to the left	no	non-affixal	_	_	_	_	_	_	_	_	_	_
diffidence	confidence	n	diffidence%1:12:00::	confidence%1:12:00::	lack of self-confidence	a feeling of trust (in someone or something)	no	non-affixal	_	_	_	_	_	_	_	_	_	_
digestibility	indigestibility	n	digestibility%1:07:00::	indigestibility%1:07:00::	the property of being easy to digest	the property of being difficult to digest	_	_	_	_	_	_	no	affixal	in-	_	direct	_
dilution	concentration	n	dilution%1:04:00::	concentration%1:04:01::	weakening (reducing the concentration) by the addition of water or a thinner	strengthening the concentration (as of a solute in a mixture) by removing diluting material	_	_	_	_	_	_	no	non-affixal	_	_	_	_
direct_evidence	circumstantial_evidence	n	direct_evidence%1:10:00::	circumstantial_evidence%1:10:00::	evidence (usually the testimony of a witness) directly related to the fact in dispute	evidence providing only a basis for inference about the fact in dispute	_	_	_	_	_	_	no	non-affixal	_	_	_	_
directness	indirectness	n	directness%1:07:00::	indirectness%1:07:00::	trueness of course toward a goal	having the characteristic of lacking a true course toward a goal	no	affixal	in-	_	direct	_	_	_	_	_	_	_
disapproval	approval	n	disapproval%1:12:00::	approval%1:12:00::	a feeling of disliking something or what someone is doing	a feeling of liking something or someone good	yes	affixal	dis-	_	direct	_	_	_	_	_	_	_
discipline	indiscipline	n	discipline%1:07:00::	indiscipline%1:07:00::	the trait of being well behaved	the trait of lacking discipline	_	_	_	_	_	_	no	affixal	in-	_	direct	_
disconnectedness	connectedness	n	disconnectedness%1:26:00::	connectedness%1:26:00::	state of being disconnected	the state of being connected	_	_	_	_	_	_	no	non-affixal	_	_	_	_
discontinuity	continuity	n	discontinuity%1:26:00::	continuity%1:26:00::	lack of connection or continuity	uninterrupted connection or union	_	_	_	_	_	_	no	non-affixal	_	_	_	_
disembarkation	embarkation	n	disembarkation%1:04:00::	embarkation%1:04:00::	the act of passengers and crew getting off of a ship or aircraft	the act of passengers and crew getting aboard a ship or aircraft	yes	affixal	dis-	_	indirect	ROD	_	_	_	_	_	_
disequilibrium	equilibrium	n	disequilibrium%1:26:00::	equilibrium%1:26:00::	loss of equilibrium attributable to an unstable situation in which some forces outweigh others	a stable situation in which forces cancel one another	_	_	_	_	_	_	no	affixal	dis-	_	direct	_
disinflation	inflation	n	disinflation%1:22:00::	inflation%1:22:00::	a reduction of prices intended to improve the balance of payments	a general and progressive increase in prices	yes	affixal	dis-	in-	indirect	ROD	_	_	_	_	_	_
distinctness	indistinctness	n	distinctness%1:07:00::	indistinctness%1:07:00::	the quality of being sharp and clear	the quality of being indistinct and without sharp outlines	no	affixal	in-	_	direct	_	_	_	_	_	_	_
distributary	tributary	n	distributary%1:17:00::	tributary%1:17:00::	a branch of a river that flows away from the main stream and does not rejoin it	a branch that flows into the main stream	_	_	_	_	_	_	no	non-affixal	_	_	_	_
distribution	concentration	n	distribution%1:07:00::	concentration%1:07:03::	the spatial or geographic property of being scattered about over a range, area, or volume	the spatial property of being crowded together	no	non-affixal	_	_	_	_	_	_	_	_	_	_
diving_duck	dabbling_duck	n	diving_duck%1:05:00::	dabbling_duck%1:05:00::	any of various ducks of especially bays and estuaries that dive for their food	any of numerous shallow-water ducks that feed by upending and dabbling	_	_	_	_	_	_	no	non-affixal	_	_	_	_
domestic_flight	international_flight	n	domestic_flight%1:04:00::	international_flight%1:04:00::	a flight that begins and ends in the same country	a flight that takes off in one country and lands in another	no	non-affixal	_	_	_	_	no	non-affixal	_	_	_	_
